201,False,False,Taşcanlar Pastanesi,[],/biz/ta%C5%9Fcanlar-pastanesi-adana-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 3234370,,,,[],{},taşcanlar-pastanesi-adana-2,
202,False,False,Karacadağ Pastanesi,[],/biz/karacada%C4%9F-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 3286488,,,,[],{},karacadağ-pastanesi-adana,
203,False,False,Selçuk Usta Börek Salonu,[],/biz/sel%C3%A7uk-usta-b%C3%B6rek-salonu-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4328515,,,,[],{},selçuk-usta-börek-salonu-adana,
204,False,False,Ramazanoğulları Özlem Pide Fırın,[],/biz/ramazano%C4%9Fullar%C4%B1-%C3%B6zlem-pide-f%C4%B1r%C4%B1n-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2282680,,,,[],{},ramazanoğulları-özlem-pide-fırın-adana,
205,False,False,Börekçi Şahin,[],/biz/b%C3%B6rek%C3%A7i-%C5%9Fahin-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4590268,,,,[],{},börekçi-şahin-adana,
206,False,False,Çiçek Pastanesi,[],/biz/%C3%A7i%C3%A7ek-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2282041,,,,[],{},çiçek-pastanesi-adana,
207,False,False,Güven Unlu Mamülleri,[],/biz/g%C3%BCven-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 6135925,,,,[],{},güven-unlu-mamülleri-adana,
208,False,False,Naz Cafe,[],/biz/naz-cafe-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0531) 2575788,,,,[],{},naz-cafe-adana,
209,False,False,Soydan,[],/biz/soydan-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 6139325,,,,[],{},soydan-adana,
210,False,False,Ekin Pide Fırını,[],/biz/ekin-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2399944,,,,[],{},ekin-pide-fırını-adana,
211,False,False,Emin Pastanesi,[],/biz/emin-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4316022,,,,[],{},emin-pastanesi-adana,
212,False,False,Usta Kardeşler,[],/biz/usta-karde%C5%9Fler-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 4534523,,,,[],{},usta-kardeşler-adana,
213,False,False,Koç Kardeşler,[],/biz/ko%C3%A7-karde%C5%9Fler-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2335252,,,,[],{},koç-kardeşler-adana,
214,False,False,İnci Pastanesi,[],/biz/inci-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0538) 7184949,,,,[],{},inci-pastanesi-adana,
